ìÂ;ìÀ
5.16036200;5.1604E-03
5.16036200;5.1604E-03
5.16036200;5.1604E-03
5.16036200;5.1604E-03
5.16036200;5.1604E-03
5.16036200;5.1604E-03
5.16036200;5.1604E-03
5.16036200;5.1604E-03
5.16036200;5.1604E-03
5.16036200;5.1604E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16060000;5.1606E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16083800;5.1608E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16107700;5.1611E-03
5.16131500;5.1613E-03
5.16131500;5.1613E-03
5.16131500;5.1613E-03
5.16131500;5.1613E-03
5.16131500;5.1613E-03
5.16155400;5.1616E-03
5.16155400;5.1616E-03
5.16155400;5.1616E-03
5.16155400;5.1616E-03
5.16155400;5.1616E-03
5.16155400;5.1616E-03
5.16155400;5.1616E-03
5.16155400;5.1616E-03
5.16155400;5.1616E-03
5.16155400;5.1616E-03
5.16155400;5.1616E-03
5.16155400;5.1616E-03
5.16155400;5.1616E-03
5.16155400;5.1616E-03
5.16155400;5.1616E-03
5.16179200;5.1618E-03
5.16179200;5.1618E-03
5.16179200;5.1618E-03
5.16179200;5.1618E-03
5.16179200;5.1618E-03
5.16179200;5.1618E-03
5.16203000;5.1620E-03
5.16203000;5.1620E-03
5.16203000;5.1620E-03
5.16203000;5.1620E-03
5.16203000;5.1620E-03
5.16203000;5.1620E-03
5.16203000;5.1620E-03
5.16203000;5.1620E-03
5.16226900;5.1623E-03
5.16226900;5.1623E-03
5.16226900;5.1623E-03
5.16226900;5.1623E-03
5.16226900;5.1623E-03
5.16250700;5.1625E-03
5.16250700;5.1625E-03
5.16250700;5.1625E-03
5.16250700;5.1625E-03
5.16250700;5.1625E-03
5.16250700;5.1625E-03
5.16250700;5.1625E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
